From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
5882;5824;impassable;-1;-1;-1;-1;-1;;SheerMountain
2929;1600;impassable;-1;-1;-1;-1;-1;;SheerMountain
453;1600;impassable;-1;-1;-1;-1;-1;;SheerMountain
2205;6106;impassable;-1;-1;-1;-1;-1;;SheerMountain
5882;6064;impassable;-1;-1;-1;-1;-1;;SheerMountain
6019;6064;impassable;-1;-1;-1;-1;-1;;SheerMountain
2205;6064;impassable;-1;-1;-1;-1;-1;;SheerMountain
6019;6041;impassable;-1;-1;-1;-1;-1;;SheerMountain
6019;3811;impassable;-1;-1;-1;-1;-1;;SheerMountain
6019;5984;impassable;-1;-1;-1;-1;-1;;SheerMountain
6019;1967;impassable;-1;-1;-1;-1;-1;;SheerMountain
3698;1967;impassable;-1;-1;-1;-1;-1;;SheerMountain
935;1967;impassable;-1;-1;-1;-1;-1;;SheerMountain
5985;211;impassable;-1;-1;-1;-1;-1;;SheerMountain
5985;5952;impassable;-1;-1;-1;-1;-1;;SheerMountain
1625;211;impassable;-1;-1;-1;-1;-1;;SheerMountain
6022;105;impassable;-1;-1;-1;-1;-1;;SheerMountain
6022;211;impassable;-1;-1;-1;-1;-1;;SheerMountain
6022;2862;impassable;-1;-1;-1;-1;-1;;SheerMountain
6045;89;impassable;-1;-1;-1;-1;-1;;SheerMountain
6045;2929;impassable;-1;-1;-1;-1;-1;;SheerMountain
6045;491;impassable;-1;-1;-1;-1;-1;;SheerMountain
5951;2446;impassable;-1;-1;-1;-1;-1;;SheerMountain
5951;1967;impassable;-1;-1;-1;-1;-1;;SheerMountain
5951;5984;impassable;-1;-1;-1;-1;-1;;SheerMountain
615;3684;impassable;-1;-1;-1;-1;-1;;SheerMountain
615;5984;impassable;-1;-1;-1;-1;-1;;SheerMountain
615;3811;impassable;-1;-1;-1;-1;-1;;SheerMountain
5924;3684;impassable;-1;-1;-1;-1;-1;;SheerMountain
5924;367;impassable;-1;-1;-1;-1;-1;;SheerMountain
5981;1030;impassable;-1;-1;-1;-1;-1;;SheerMountain
5981;3811;impassable;-1;-1;-1;-1;-1;;SheerMountain
5894;189;impassable;-1;-1;-1;-1;-1;;SheerMountain
5894;5946;impassable;-1;-1;-1;-1;-1;;SheerMountain
5894;5911;impassable;-1;-1;-1;-1;-1;;SheerMountain
5899;223;impassable;-1;-1;-1;-1;-1;;SheerMountain
5899;1800;impassable;-1;-1;-1;-1;-1;;SheerMountain
5899;1967;impassable;-1;-1;-1;-1;-1;;SheerMountain
5899;2446;impassable;-1;-1;-1;-1;-1;;SheerMountain
5899;3533;impassable;-1;-1;-1;-1;-1;;SheerMountain
5874;1800;impassable;-1;-1;-1;-1;-1;;SheerMountain
5874;2446;impassable;-1;-1;-1;-1;-1;;SheerMountain
5874;3684;impassable;-1;-1;-1;-1;-1;;SheerMountain
5874;3516;impassable;-1;-1;-1;-1;-1;;SheerMountain
#清泉镇
1214;2863;impassable;-1;-1;-1;-1;-1;;SheerMountain
2215;5724;impassable;-1;-1;-1;-1;-1;;SheerMountain
2215;5702;impassable;-1;-1;-1;-1;-1;;SheerMountain
2215;5701;impassable;-1;-1;-1;-1;-1;;SheerMountain
#奔狼领
5263;5239;impassable;-1;-1;-1;-1;-1;;SheerMountain
5263;1839;impassable;-1;-1;-1;-1;-1;;SheerMountain
5273;5239;impassable;-1;-1;-1;-1;-1;;SheerMountain
5273;1471;impassable;-1;-1;-1;-1;-1;;SheerMountain
5273;5262;impassable;-1;-1;-1;-1;-1;;SheerMountain
5273;1839;impassable;-1;-1;-1;-1;-1;;SheerMountain
5303;3552;impassable;-1;-1;-1;-1;-1;;SheerMountain
5303;1839;impassable;-1;-1;-1;-1;-1;;SheerMountain
5303;3552;impassable;-1;-1;-1;-1;-1;;SheerMountain
5330;5300;impassable;-1;-1;-1;-1;-1;;SheerMountain
5330;3552;impassable;-1;-1;-1;-1;-1;;SheerMountain
2540;5415;impassable;-1;-1;-1;-1;-1;;SheerMountain
2540;5438;impassable;-1;-1;-1;-1;-1;;SheerMountain
3574;5438;impassable;-1;-1;-1;-1;-1;;SheerMountain
5496;417;impassable;-1;-1;-1;-1;-1;;SheerMountain
5496;5530;impassable;-1;-1;-1;-1;-1;;SheerMountain
5496;5530;impassable;-1;-1;-1;-1;-1;;SheerMountain
3574;5530;impassable;-1;-1;-1;-1;-1;;SheerMountain
5538;5530;impassable;-1;-1;-1;-1;-1;;SheerMountain
5538;2937;impassable;-1;-1;-1;-1;-1;;SheerMountain
5538;5569;impassable;-1;-1;-1;-1;-1;;SheerMountain
5538;969;impassable;-1;-1;-1;-1;-1;;SheerMountain
3863;969;impassable;-1;-1;-1;-1;-1;;SheerMountain
1700;969;impassable;-1;-1;-1;-1;-1;;SheerMountain
1700;3902;impassable;-1;-1;-1;-1;-1;;SheerMountain
1700;502;impassable;-1;-1;-1;-1;-1;;SheerMountain
1700;5516;impassable;-1;-1;-1;-1;-1;;SheerMountain
1700;1754;impassable;-1;-1;-1;-1;-1;;SheerMountain
#劳伦斯领
3075;5667;impassable;-1;-1;-1;-1;-1;;SheerMountain
3075;5695;impassable;-1;-1;-1;-1;-1;;SheerMountain
5668;5695;impassable;-1;-1;-1;-1;-1;;SheerMountain
5668;3064;impassable;-1;-1;-1;-1;-1;;SheerMountain
717;3064;impassable;-1;-1;-1;-1;-1;;SheerMountain
5713;3281;impassable;-1;-1;-1;-1;-1;;SheerMountain
5713;814;impassable;-1;-1;-1;-1;-1;;SheerMountain
5804;5816;impassable;-1;-1;-1;-1;-1;;SheerMountain
5804;5786;impassable;-1;-1;-1;-1;-1;;SheerMountain
5804;5764;impassable;-1;-1;-1;-1;-1;;SheerMountain
5725;3281;impassable;-1;-1;-1;-1;-1;;SheerMountain
5725;5752;impassable;-1;-1;-1;-1;-1;;SheerMountain
5752;5764;impassable;-1;-1;-1;-1;-1;;SheerMountain
5752;5786;impassable;-1;-1;-1;-1;-1;;SheerMountain
2273;5764;impassable;-1;-1;-1;-1;-1;;SheerMountain
2273;5745;impassable;-1;-1;-1;-1;-1;;SheerMountain
2273;978;impassable;-1;-1;-1;-1;-1;;SheerMountain
1925;5695;impassable;-1;-1;-1;-1;-1;;SheerMountain
1925;5667;impassable;-1;-1;-1;-1;-1;;SheerMountain
1925;5657;impassable;-1;-1;-1;-1;-1;;SheerMountain
3232;5657;impassable;-1;-1;-1;-1;-1;;SheerMountain
3232;5614;impassable;-1;-1;-1;-1;-1;;SheerMountain
5835;5816;impassable;-1;-1;-1;-1;-1;;SheerMountain
5835;843;impassable;-1;-1;-1;-1;-1;;SheerMountain
5835;5867;impassable;-1;-1;-1;-1;-1;;SheerMountain
3558;5799;impassable;-1;-1;-1;-1;-1;;SheerMountain
3558;5816;impassable;-1;-1;-1;-1;-1;;SheerMountain
3558;843;impassable;-1;-1;-1;-1;-1;;SheerMountain
5879;843;impassable;-1;-1;-1;-1;-1;;SheerMountain
5879;5867;impassable;-1;-1;-1;-1;-1;;SheerMountain
5901;5867;impassable;-1;-1;-1;-1;-1;;SheerMountain
5901;5887;impassable;-1;-1;-1;-1;-1;;SheerMountain
5867;5887;impassable;-1;-1;-1;-1;-1;;SheerMountain
#西风教会
406;5369;impassable;-1;-1;-1;-1;-1;;SheerMountain
406;5341;impassable;-1;-1;-1;-1;-1;;SheerMountain
2611;5341;impassable;-1;-1;-1;-1;-1;;SheerMountain
86;5338;impassable;-1;-1;-1;-1;-1;;SheerMountain
86;2611;impassable;-1;-1;-1;-1;-1;;SheerMountain
86;3182;impassable;-1;-1;-1;-1;-1;;SheerMountain
3182;4092;impassable;-1;-1;-1;-1;-1;;SheerMountain
3182;5264;impassable;-1;-1;-1;-1;-1;;SheerMountain

#枫丹
2558;5529;sea;7632;-1;-1;-1;-1;;Fontaine_Strait
2075;3327;sea;7632;-1;-1;-1;-1;;Qiushui_Strait
3882;5916;sea;7632;-1;-1;-1;-1;;
1342;5859;sea;7825;-1;-1;-1;-1;;
6254;4073;sea;8095;-1;-1;-1;-1;;
137;761;sea;8165;-1;-1;-1;-1;;
3034;5716;sea;7825;-1;-1;-1;-1;;

#须弥
6435;915;sea;8095;-1;-1;-1;-1;;
3691;6395;sea;8095;-1;-1;-1;-1;;
1446;7123;sea;7603;-1;-1;-1;-1;;


#稻妻
506;3717;sea;8016;-1;-1;-1;-1;;
3818;975;sea;7570;-1;-1;-1;-1;;
59;7354;sea;7737;-1;-1;-1;-1;;
1407;1905;sea;8231;-1;-1;-1;-1;;
7280;7290;sea;8231;-1;-1;-1;-1;;
1964;1432;sea;7666;-1;-1;-1;-1;;

#隧道
7603;8319;land;1772;-1;-1;-1;-1;;Ormos_Strait
7552;7723;land;6035;-1;-1;-1;-1;;
8095;8318;land;6482;-1;-1;-1;-1;;
