0;0;0;0;sea;false;ocean;0
206;211;221;152;land;true;plains;1
207;49;130;117;land;false;plains;1
208;23;83;152;land;false;mountain;1
209;242;6;149;land;true;plains;1
210;40;22;187;land;false;urban;1
211;93;236;239;land;false;hills;1
212;23;90;140;land;false;forest;1
213;7;157;182;land;false;mountain;1
214;123;95;35;land;false;plains;1
215;119;204;82;land;true;plains;1
216;57;174;235;land;true;mountain;1
217;68;81;201;land;true;urban;1
218;111;199;200;land;true;urban;1
219;127;211;157;land;false;plains;1
220;61;115;121;land;false;desert;1
221;185;41;134;land;true;urban;1
222;54;47;182;land;false;plains;1
223;11;200;39;land;false;mountain;1
224;160;188;96;land;false;desert;1
225;250;101;115;land;false;mountain;1
226;235;146;174;land;false;forest;1
227;139;137;27;land;false;plains;1
228;34;106;95;land;false;plains;1
229;132;220;57;land;false;urban;1
230;127;21;135;land;false;mountain;1
231;39;199;1;land;false;desert;1
232;43;78;224;land;false;mountain;1
233;226;163;34;land;true;plains;1
234;77;205;40;land;false;jungle;1
235;190;166;155;land;false;mountain;1
236;211;48;193;land;false;plains;1
237;75;164;119;land;false;desert;1
238;220;26;128;land;false;plains;1
239;174;18;214;land;false;mountain;1
240;212;141;41;land;true;desert;1
241;200;221;205;land;false;desert;1
242;42;237;200;land;false;urban;1
243;236;251;19;land;false;plains;1
244;142;229;126;land;false;mountain;1
245;187;184;239;land;false;jungle;1
246;168;56;60;land;false;jungle;1
247;190;229;12;land;true;mountain;1
248;11;219;95;land;true;plains;1
249;75;84;30;land;true;urban;1
250;220;196;42;land;false;hills;1
251;93;216;142;land;false;desert;1
252;195;64;165;land;false;urban;1
253;183;25;150;land;true;jungle;1
254;174;60;90;land;true;plains;1
255;247;70;98;land;true;plains;1
256;34;122;13;land;false;desert;1
257;125;141;232;land;false;jungle;1
258;45;187;193;land;false;jungle;1
259;105;140;208;land;true;urban;1
260;105;180;182;land;true;forest;1
261;74;45;54;land;true;plains;1
262;105;212;199;land;false;marsh;1
263;83;199;19;land;false;plains;1
264;34;156;190;land;false;jungle;1
265;49;79;136;land;false;mountain;1
266;209;29;76;land;false;jungle;1
267;231;49;1;land;true;plains;1
268;129;17;58;land;false;forest;1
269;114;183;218;land;false;mountain;1
270;214;152;45;land;true;plains;1
271;94;79;145;land;false;jungle;1
272;31;151;38;land;false;urban;1
273;58;117;19;land;true;desert;1
274;139;155;30;land;false;desert;1
275;19;235;166;land;true;plains;1
276;69;9;160;land;true;plains;1
277;207;141;81;land;false;desert;1
278;52;225;16;land;false;hills;1
279;120;210;204;land;true;plains;1
280;208;29;65;land;false;plains;1
281;174;88;1;land;false;mountain;1
282;177;225;70;land;true;urban;1
283;203;90;11;land;false;mountain;1
284;234;167;241;land;false;hills;1
285;49;248;184;land;true;plains;1
286;129;138;175;land;true;forest;1
287;48;64;117;land;true;desert;1
288;246;26;198;land;false;plains;1
289;69;69;98;land;false;plains;1
290;131;190;188;land;false;desert;1
291;118;201;123;land;true;forest;1
292;40;86;244;land;true;forest;1
293;137;47;221;land;false;desert;1
294;66;28;49;land;false;hills;1
295;33;163;227;land;false;hills;1
296;57;150;136;land;false;hills;1
297;9;207;209;land;true;urban;1
298;189;47;78;land;false;hills;1
299;175;204;64;land;false;mountain;1
300;76;167;240;land;false;mountain;1
301;204;229;84;land;false;jungle;1
302;199;105;183;land;false;jungle;1
303;121;27;147;land;false;forest;1
304;53;114;3;land;false;plains;1
305;191;4;138;land;false;mountain;1
306;135;198;45;land;false;jungle;1
307;84;17;57;land;false;plains;1
308;41;24;74;land;false;jungle;1
309;187;148;131;land;false;hills;1
310;22;29;124;land;false;desert;1
311;58;146;146;land;false;desert;1
312;167;204;0;land;false;hills;1
313;16;196;15;land;false;hills;1
314;131;117;109;land;true;forest;1
315;144;41;116;land;false;plains;1
316;17;243;173;land;false;mountain;1
317;238;160;184;land;false;mountain;1
318;120;37;167;land;false;plains;1
319;171;131;186;land;false;plains;1
320;122;227;130;land;false;hills;1
321;230;227;107;land;true;plains;1
322;183;164;192;land;false;mountain;1
323;240;158;164;land;false;mountain;1
324;42;191;73;land;false;hills;1
325;48;153;134;land;false;desert;1
326;233;214;144;land;false;mountain;1
327;111;247;17;land;false;forest;1
328;1;102;78;land;true;hills;1
329;220;164;82;land;true;forest;1
330;34;12;55;land;false;plains;1
331;41;83;205;land;false;jungle;1
332;244;224;164;land;false;plains;1
333;101;97;19;land;true;plains;1
334;42;9;228;land;false;forest;1
335;213;249;40;land;true;plains;1
336;183;124;46;land;false;plains;1
337;59;246;57;land;false;jungle;1
338;56;187;15;land;false;plains;1
339;161;239;186;land;false;forest;1
340;223;34;131;land;false;desert;1
341;146;33;7;land;false;plains;1
342;68;123;126;land;true;desert;1
343;179;189;20;land;false;urban;1
344;63;217;157;land;false;forest;1
345;216;186;255;land;true;plains;1
346;227;17;62;land;false;desert;1
347;24;246;111;land;false;desert;1
348;157;81;61;land;false;desert;1
349;66;202;7;land;false;jungle;1
350;247;192;208;land;false;mountain;1
351;79;78;122;land;true;desert;1
352;53;240;58;land;true;urban;1
353;107;154;48;land;true;urban;1
354;145;205;181;land;false;plains;1
355;196;75;174;land;false;desert;1
356;116;94;90;land;false;mountain;1
357;250;171;68;land;true;forest;1
358;14;168;227;land;true;marsh;1
359;213;144;154;land;false;plains;1
360;10;222;151;land;false;mountain;1
361;92;140;247;land;false;urban;1
362;106;37;250;land;false;mountain;1
363;111;132;31;land;false;plains;1
364;116;137;65;land;false;plains;1
365;9;182;198;land;false;jungle;1
366;5;44;146;land;false;plains;1
367;206;167;23;land;false;plains;1
368;74;119;97;land;false;desert;1
369;30;180;249;land;false;hills;1
370;121;146;45;land;true;urban;1
371;215;255;31;land;false;forest;1
372;117;75;139;land;false;mountain;1
373;200;180;161;land;false;jungle;1
374;49;159;153;land;false;plains;1
375;99;240;206;land;true;plains;1
376;22;213;47;land;false;desert;1
377;18;14;66;land;false;plains;1
378;233;127;72;land;true;plains;1
379;229;133;165;land;false;hills;1
380;224;15;145;land;false;forest;1
381;222;58;4;land;true;marsh;1
382;207;17;213;land;false;plains;1
383;73;8;90;land;false;desert;1
384;177;120;35;land;false;desert;1
385;168;69;57;land;false;mountain;1
386;83;208;89;land;false;plains;1
387;61;110;125;land;false;desert;1
388;125;94;36;land;false;jungle;1
389;6;53;128;land;true;plains;1
390;184;180;229;land;true;urban;1
391;174;27;162;land;false;hills;1
392;177;139;60;land;false;hills;1
393;210;213;172;land;true;hills;1
394;2;36;195;land;false;plains;1
395;163;42;88;land;false;jungle;1
396;154;65;73;land;true;urban;1
397;209;187;184;land;false;jungle;1
398;198;180;19;land;false;plains;1
399;35;34;163;land;true;desert;1
400;69;170;7;land;true;mountain;1
401;60;221;213;land;true;urban;1
402;46;188;218;land;false;jungle;1
403;213;203;43;land;false;plains;1
404;23;98;246;land;false;plains;1
405;47;252;152;land;false;hills;1
406;45;89;104;land;false;forest;1
407;51;41;225;land;false;mountain;1
408;71;48;78;land;false;plains;1
409;222;202;208;land;true;forest;1
410;13;240;122;land;false;plains;1
411;206;107;251;land;true;desert;1
412;99;50;205;land;false;mountain;1
413;126;177;168;land;false;urban;1
414;226;43;128;land;false;jungle;1
415;1;78;230;land;false;urban;1
416;49;178;230;land;false;mountain;1
417;224;11;37;land;false;hills;1
418;253;164;216;land;false;mountain;1
419;203;11;246;land;false;hills;1
420;65;67;204;land;false;desert;1
421;224;40;245;land;true;plains;1
422;115;34;37;land;false;plains;1
423;201;168;212;land;false;jungle;1
424;187;78;212;land;false;jungle;1
425;244;214;167;land;false;forest;1
426;197;242;143;land;false;forest;1
427;199;127;158;land;false;desert;1
428;109;160;25;land;false;hills;1
429;170;194;97;land;false;forest;1
430;51;183;163;land;false;hills;1
431;170;108;59;land;false;hills;1
432;215;84;95;land;false;mountain;1
433;159;185;249;land;false;mountain;1
434;184;12;2;land;false;forest;1
435;120;94;6;land;false;plains;1
436;223;99;191;land;false;mountain;1
437;183;60;255;land;true;plains;1
438;133;37;212;land;true;forest;1
439;180;150;105;land;false;plains;1
440;93;62;147;land;false;mountain;1
441;113;202;210;land;false;desert;1
442;241;11;227;land;false;plains;1
443;70;107;114;land;true;desert;1
444;151;88;1;land;false;plains;1
445;219;188;166;land;false;forest;1
446;221;255;138;land;false;forest;1
447;199;89;62;land;false;mountain;1
448;21;177;145;land;false;plains;1
449;225;31;226;land;false;plains;1
450;62;10;140;land;false;desert;1
451;142;174;244;land;true;forest;1
452;23;136;205;land;false;hills;1
453;129;53;179;land;false;hills;1
454;123;95;36;land;true;forest;1
455;117;94;40;land;false;mountain;1
456;73;255;212;land;false;plains;1
457;105;3;71;land;false;mountain;1
458;111;167;118;land;true;forest;1
459;129;152;70;land;false;forest;1
460;228;197;98;land;false;desert;1
461;5;247;18;land;true;plains;1
462;153;24;130;land;false;forest;1
463;145;79;125;land;false;desert;1
464;219;4;60;land;false;jungle;1
465;5;138;131;land;false;plains;1
466;138;125;254;land;false;mountain;1
467;9;253;62;land;true;forest;1
468;111;96;79;land;true;plains;1
469;188;36;235;land;false;plains;1
470;201;168;12;land;false;desert;1
471;35;51;224;land;false;hills;1
472;142;74;75;land;false;desert;1
473;218;110;196;land;false;plains;1
474;215;173;61;land;false;hills;1
475;62;103;185;land;false;jungle;1
476;200;150;88;land;false;desert;1
477;215;120;104;land;false;mountain;1
478;81;30;207;land;true;plains;1
479;29;2;65;land;false;plains;1
480;230;68;77;land;false;jungle;1
481;131;37;7;land;false;mountain;1
482;138;14;204;land;false;mountain;1
483;112;89;10;land;false;mountain;1
484;221;247;117;land;false;mountain;1
485;116;148;165;land;false;plains;1
486;28;231;116;land;true;jungle;1
487;171;163;118;land;true;desert;1
488;87;76;10;land;true;urban;1
489;166;31;41;land;false;forest;1
490;136;125;121;land;true;forest;1
491;167;160;115;land;false;mountain;1
492;206;133;70;land;true;desert;1
493;194;143;65;land;false;desert;1
494;153;31;98;land;false;desert;1
495;120;119;143;land;false;jungle;1
496;252;31;80;land;false;urban;1
497;133;117;85;land;true;desert;1
498;230;126;84;land;false;plains;1
499;218;232;65;land;false;hills;1
500;63;232;39;land;false;plains;1
501;80;86;15;land;false;jungle;1
502;179;4;245;land;false;desert;1
503;144;111;190;land;false;mountain;1
504;243;233;224;land;false;mountain;1
505;71;12;34;land;false;desert;1
506;70;33;151;land;false;mountain;1
507;20;46;236;land;false;hills;1
508;18;203;172;land;false;plains;1
509;247;93;192;land;false;desert;1
510;214;84;5;land;false;mountain;1
511;195;4;120;land;true;plains;1
512;199;90;233;land;false;desert;1
513;6;1;219;land;false;desert;1
514;25;48;115;land;false;jungle;1
515;147;8;195;land;false;mountain;1
516;90;15;143;land;false;plains;1
517;230;52;224;land;false;plains;1
518;124;221;15;land;false;plains;1
519;162;1;17;land;false;mountain;1
520;103;182;28;land;false;plains;1
521;78;115;150;land;false;mountain;1
522;188;108;10;land;true;plains;1
523;144;217;149;land;false;forest;1
524;45;109;231;land;false;hills;1
525;97;100;23;land;false;desert;1
526;183;58;83;land;false;urban;1
527;141;137;67;land;true;forest;1
528;123;253;117;land;false;forest;1
529;92;195;137;land;false;desert;1
530;47;254;249;land;false;mountain;1
531;23;196;54;land;false;marsh;1
532;83;178;175;land;false;plains;1
533;51;64;228;land;false;forest;1
534;40;236;20;land;false;mountain;1
535;143;227;160;land;false;desert;1
536;170;137;97;land;false;plains;1
537;100;226;10;land;false;plains;1
538;127;38;117;land;false;jungle;1
539;203;153;137;land;false;forest;1
540;114;252;126;land;false;urban;1
541;172;182;241;land;false;mountain;1
542;207;160;164;land;false;jungle;1
543;77;235;70;land;false;jungle;1
544;110;204;125;land;false;plains;1
545;155;11;90;land;true;forest;1
546;83;38;91;land;false;marsh;1
547;154;88;226;land;false;mountain;1
548;119;117;72;land;false;forest;1
549;173;224;70;land;false;plains;1
550;227;164;25;land;true;urban;1
551;7;211;2;land;false;plains;1
552;44;4;142;land;false;jungle;1
553;181;155;210;land;false;plains;1
554;245;201;220;land;false;jungle;1
555;88;192;213;land;false;jungle;1
556;248;23;187;land;false;mountain;1
557;181;158;151;land;true;mountain;1
558;204;123;173;land;true;mountain;1
559;111;151;47;land;false;jungle;1
560;78;113;5;land;false;plains;1
561;190;81;80;land;false;plains;1
562;148;213;79;land;false;plains;1
563;251;223;131;land;false;plains;1
564;103;143;33;land;false;desert;1
565;5;66;30;land;false;mountain;1
566;239;10;48;land;false;jungle;1
567;54;184;157;land;false;mountain;1
568;22;7;215;land;false;plains;1
569;223;20;245;land;false;plains;1
570;203;124;237;land;true;forest;1
571;70;102;211;land;false;mountain;1
572;76;32;145;land;true;plains;1
573;85;43;119;land;false;plains;1
574;149;176;12;land;false;desert;1
575;104;76;66;land;true;plains;1
576;129;180;249;land;true;jungle;1
577;85;253;164;land;false;urban;1
578;31;149;204;land;false;plains;1
579;254;99;203;land;true;urban;1
580;177;192;154;land;false;urban;1
581;159;137;170;land;false;plains;1
582;120;183;137;land;true;forest;1
583;218;161;69;land;true;hills;1
584;93;7;167;land;false;desert;1
585;163;165;169;land;true;plains;1
586;225;30;186;land;false;plains;1
587;8;247;37;land;false;plains;1
588;73;129;230;land;false;mountain;1
589;117;32;220;land;false;mountain;1
590;227;191;101;land;false;plains;1
591;59;186;19;land;true;mountain;1
592;186;20;169;land;false;plains;1
593;65;84;39;land;false;plains;1
594;89;204;33;land;false;plains;1
595;210;50;98;land;true;plains;1
596;176;185;84;land;false;jungle;1
597;237;131;30;land;false;plains;1
598;236;213;176;land;true;plains;1
599;14;133;41;land;false;hills;1
600;187;213;135;land;true;forest;1
601;62;38;152;land;true;plains;1
602;13;127;35;land;true;desert;1
603;219;142;81;land;false;desert;1
604;85;222;60;land;false;plains;1
605;198;247;59;land;false;plains;1
606;8;252;241;land;false;desert;1
607;72;33;146;land;false;jungle;1
608;5;153;85;land;false;jungle;1
609;64;188;7;land;false;jungle;1
610;235;188;238;land;true;jungle;1
611;234;2;38;land;false;forest;1
612;227;161;174;land;false;forest;1
613;245;35;34;land;false;desert;1
614;40;17;105;land;false;desert;1
615;75;53;35;land;false;plains;1
616;220;237;38;land;false;mountain;1
617;98;233;207;land;true;urban;1
618;47;210;193;land;false;plains;1
619;111;200;6;land;true;plains;1
620;87;156;172;land;false;plains;1
621;92;221;219;land;false;plains;1
622;115;8;44;land;false;urban;1
623;169;63;133;land;false;plains;1
624;44;114;149;land;true;forest;1
625;239;213;245;land;false;mountain;1
626;83;132;67;land;true;urban;1
627;32;43;242;land;false;jungle;1
628;189;193;78;land;false;jungle;1
629;168;61;162;land;true;urban;1
630;153;61;71;land;false;jungle;1
631;142;65;129;land;true;urban;1
632;13;151;11;land;false;forest;1
633;178;135;87;land;false;plains;1
634;72;33;77;land;true;plains;1
635;129;171;98;land;false;mountain;1
636;147;215;180;land;false;plains;1
637;141;72;171;land;false;jungle;1
638;173;199;153;land;false;mountain;1
639;200;82;18;land;false;mountain;1
640;188;134;211;land;true;jungle;1
641;220;22;217;land;true;plains;1
642;255;79;36;land;false;jungle;1
643;193;122;230;land;true;plains;1
644;115;222;186;land;false;forest;1
645;16;30;127;land;false;urban;1
646;170;56;222;land;true;jungle;1
647;83;124;192;land;false;plains;1
648;113;11;107;land;false;mountain;1
649;192;67;70;land;false;desert;1
650;104;125;19;land;false;jungle;1
651;39;83;78;land;true;plains;1
652;248;9;167;land;false;desert;1
653;8;3;52;land;true;plains;1
654;104;152;85;land;false;forest;1
655;39;90;45;land;false;marsh;1
656;88;25;106;land;false;mountain;1
657;255;191;23;land;false;plains;1
658;106;124;239;land;false;jungle;1
659;210;98;182;land;false;desert;1
660;163;142;91;land;false;plains;1
661;99;29;41;land;false;plains;1
662;208;114;120;land;false;desert;1
663;186;127;193;land;true;plains;1
664;49;181;83;land;false;mountain;1
665;59;236;235;land;true;plains;1
666;82;108;114;land;false;plains;1
667;190;93;250;land;false;plains;1
668;188;55;53;land;false;desert;1
669;190;229;146;land;true;jungle;1
670;42;20;147;land;false;plains;1
671;189;223;39;land;false;hills;1
672;31;39;248;land;true;plains;1
673;148;216;38;land;true;mountain;1
674;85;160;0;land;false;desert;1
675;91;63;141;land;true;mountain;1
676;117;220;170;land;false;mountain;1
677;208;120;127;land;false;forest;1
678;5;88;91;land;true;desert;1
679;10;35;199;land;true;forest;1
680;41;192;44;land;true;plains;1
681;44;4;139;land;false;forest;1
682;27;100;42;land;true;plains;1
683;105;253;115;land;false;desert;1
684;96;165;221;land;true;forest;1
685;13;99;0;land;false;plains;1
686;23;170;28;land;false;desert;1
687;128;5;188;land;false;plains;1
688;117;125;38;land;false;forest;1
689;132;76;70;land;false;plains;1
690;197;179;79;land;true;plains;1
691;218;147;251;land;false;plains;1
692;138;107;151;land;false;mountain;1
693;236;203;193;land;false;desert;1
694;184;79;69;land;false;mountain;1
695;21;65;96;land;false;mountain;1
696;146;5;42;land;true;desert;1
697;95;68;211;land;true;desert;1
698;178;153;189;land;false;mountain;1
699;14;39;121;land;false;hills;1
700;150;48;92;land;false;jungle;1
701;61;166;210;land;false;desert;1
702;118;81;65;land;false;mountain;1
703;140;161;149;land;false;forest;1
704;37;229;168;land;false;mountain;1
705;145;153;220;land;false;hills;1
706;183;64;111;land;false;mountain;1
707;120;202;198;land;false;plains;1
708;27;86;255;land;false;urban;1
709;73;231;2;land;false;mountain;1
710;41;230;218;land;true;forest;1
711;122;92;236;land;false;hills;1
712;36;180;253;land;false;plains;1
713;143;101;64;land;false;mountain;1
714;230;198;172;land;true;plains;1
715;106;42;67;land;true;jungle;1
716;120;180;229;land;false;desert;1
717;68;116;203;land;false;mountain;1
718;128;73;25;land;false;plains;1
719;209;54;72;land;false;plains;1
720;34;79;60;land;false;hills;1
721;36;59;169;land;true;hills;1
722;240;232;12;land;false;plains;1
723;11;80;240;land;true;plains;1
724;237;52;23;land;false;jungle;1
725;253;107;175;land;false;plains;1
726;38;17;138;land;false;mountain;1
727;28;17;214;land;false;mountain;1
728;6;177;231;land;false;urban;1
729;81;73;28;land;false;jungle;1
730;127;13;115;land;false;plains;1
731;86;245;83;land;false;plains;1
732;13;23;236;land;false;desert;1
733;66;4;49;land;false;desert;1
734;178;183;106;land;false;jungle;1
735;74;172;83;land;false;forest;1
736;86;126;71;land;false;plains;1
737;225;74;25;land;false;plains;1
738;126;218;197;land;false;plains;1
739;52;85;232;land;false;jungle;1
740;76;227;4;land;false;forest;1
741;55;29;232;land;false;hills;1
742;114;173;196;land;false;plains;1
743;194;25;220;land;false;desert;1
744;1;182;165;land;false;plains;1
745;141;26;215;land;true;plains;1
746;42;74;168;land;true;plains;1
747;105;163;122;land;false;plains;1
748;155;195;19;land;true;jungle;1
749;138;124;170;land;false;plains;1
750;97;5;35;land;false;mountain;1
751;55;81;94;land;false;plains;1
752;201;21;10;land;false;mountain;1
753;31;181;139;land;false;mountain;1
754;61;194;229;land;false;desert;1
755;114;37;232;land;false;jungle;1
756;229;51;239;land;false;plains;1
757;47;40;202;land;false;desert;1
758;77;213;45;land;false;mountain;1
759;176;108;227;land;false;desert;1
760;1;70;126;land;false;plains;1
761;7;231;230;land;false;forest;1
762;175;237;73;land;false;forest;1
763;52;212;175;land;true;forest;1
764;51;74;28;land;false;hills;1
765;90;135;182;land;false;plains;1
766;161;82;229;land;false;plains;1
767;176;175;145;land;false;forest;1
768;57;49;167;land;false;forest;1
769;113;84;0;land;false;mountain;1
770;155;151;153;land;false;plains;1
771;81;217;131;land;false;desert;1
772;192;248;94;land;false;mountain;1
773;159;80;191;land;true;forest;1
774;92;117;64;land;false;plains;1
775;196;58;76;land;false;plains;1
776;105;42;137;land;true;urban;1
777;174;26;185;land;false;plains;1
778;245;148;22;land;true;plains;1
779;160;75;28;land;false;plains;1
780;57;181;230;land;false;plains;1
781;112;134;159;land;true;jungle;1
782;22;89;199;land;true;jungle;1
783;108;53;226;land;true;forest;1
784;7;150;60;land;false;forest;1
785;180;137;107;land;false;desert;1
786;87;43;26;land;false;mountain;1
787;130;75;129;land;true;plains;1
788;162;156;165;land;true;urban;1
789;53;194;65;land;false;jungle;1
790;30;126;96;land;false;jungle;1
791;113;243;24;land;false;desert;1
792;5;54;212;land;false;desert;1
793;197;140;246;land;true;forest;1
794;86;189;199;land;true;jungle;1
795;227;192;124;land;false;plains;1
796;236;78;108;land;false;desert;1
797;62;86;204;land;false;urban;1
798;246;122;221;land;false;plains;1
799;121;67;90;land;false;plains;1
800;114;155;248;land;false;forest;1
801;195;39;213;land;false;desert;1
802;93;119;69;land;false;jungle;1
803;128;147;196;land;true;forest;1
804;190;76;114;land;false;forest;1
805;152;185;21;land;false;plains;1
806;232;121;224;land;false;jungle;1
807;125;177;141;land;false;urban;1
